ID,Family,Binomial,Ndaphnia,Sex,X240m,nbut,death.p,Phylo
mr1,Lycaenidae,Zizina otis,10,Male,1,2,0.1,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
2978,Lycaenidae,Zizina otis,10,Male,0,1,0,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
2999,Lycaenidae,Zizina otis,10,Female,5,1,0.5,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
939,Lycaenidae,Zizina otis,10,Female,9,1,0.9,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
ZO9,Lycaenidae,Zizina otis,10,Male,6,2,0.6,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
860,Lycaenidae,Zizina otis,10,Male,2,1,0.2,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
4135,Lycaenidae,Zizina otis,10,Female,0,1,0,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
4136,Lycaenidae,Zizina otis,10,Female,0,1,0,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
4137,Lycaenidae,Zizina otis,10,Female,5,1,0.5,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
4140,Lycaenidae,Zizina otis,10,Female,7,1,0.7,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
4141,Lycaenidae,Zizina otis,10,Female,2,1,0.2,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
4144,Lycaenidae,Zizina otis,10,Female,2,1,0.2,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
3750,Lycaenidae,Zizina otis,10,Male,3,1,0.3,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
3739,Lycaenidae,Zizina otis,10,Female,5,1,0.5,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
3898,Lycaenidae,Zizina otis,10,Female,0,1,0,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
3904,Lycaenidae,Zizina otis,10,Male,1,1,0.1,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
3905,Lycaenidae,Zizina otis,10,Female,3,1,0.3,BN004004_DL01Q533_Lycaenidae_Polyommatinae_Polyommatini_Zizina_otis
