"ID","Family","Binomial","Ndaphnia","Sex","X240m","nbut","death.p","Phylo","Dorsal.conspicuousness","Ventral.conspicuousness","ConspicuousnessDiff"
"LP2","Lycaenidae","Leptotes plinius",10,"Male",5,2,0.5,"BN002865_LEP46014_Lycaenidae_Polyommatinae_Polyommatini_Leptotes_cassius",0.490422033898305,0.387837096774194,0.102584937124112
"2773","Papilionidae","Papilio aegeus",10,"Male",2,1,0.2,"SRR5879306_X_Papilionidae_Papilioninae_Papilionini_Papilio_ambrax",0.5052453125,0.436190196078431,0.0690551164215687
"2811","Lycaenidae","Leptotes plinius",10,"Female",3,1,0.3,"BN002865_LEP46014_Lycaenidae_Polyommatinae_Polyommatini_Leptotes_cassius",0.490422033898305,0.387837096774194,0.102584937124112
"994","Pieridae","Eurema smilax",10,"Female",2,1,0.2,"DRR087481_X_Pieridae_Coliadinae_X_Eurema_mandarina",0.563998076923077,0.507790196078431,0.0562078808446456
"2831","Lycaenidae","Theclinesthes onycha",10,"Female",3,1,0.3,"BN003991_MFB00P612_Lycaenidae_Polyommatinae_Polyommatini_Theclinesthes_miskini",0.671384090909091,0.533632352941177,0.137751737967914
"1036","Lycaenidae","Lampides boeticus",10,"Male",0,1,0,"BN001093_BNSZS00308_Lycaenidae_Polyommatinae_Polyommatini_Lampides_boeticus",0.487775438596491,0.572590909090909,-0.084815470494418
"983","Pieridae","Eurema smilax",10,"Female",0,1,0,"DRR087481_X_Pieridae_Coliadinae_X_Eurema_mandarina",0.563998076923077,0.507790196078431,0.0562078808446456
"2777","Papilionidae","Graphium choredon",11,"Male",4,1,0.363636364,"RF140004_X_Papilionidae_Papilioninae_Leptocircini_Graphium_agamemnon_X_ME",0.691863461538462,0.649664150943396,0.0421993105950653
"12","Nymphalidae","Danaus affinis",10,"Female",8,1,0.8,"GCA0049599151_X_Nymphalidae_Danainae_Danaini_Danaus_chrysippus",0.418792156862745,0.514766666666667,-0.0959745098039216
"20","Nymphalidae","Cethosia cydippe",10,"Female",3,1,0.3,"BN004321_JT10K020_Nymphalidae_Heliconiinae_Acraeini_Cethosia_cydippe",0.417305454545455,0.427002127659574,-0.00969667311411992
"36","Nymphalidae","Danaus affinis",10,"Male",4,1,0.4,"GCA0049599151_X_Nymphalidae_Danainae_Danaini_Danaus_chrysippus",0.418792156862745,0.514766666666667,-0.0959745098039216
"53","Nymphalidae","Euploea tulliolus",10,"Female",0,1,0,"BN004536_HD14B023_Nymphalidae_Danainae_Danaini_Euploea_phaenareta",0.362420967741936,0.33076,0.0316609677419355
"61","Nymphalidae","Cethosia cydippe",10,"Male",1,1,0.1,"BN004321_JT10K020_Nymphalidae_Heliconiinae_Acraeini_Cethosia_cydippe",0.417305454545455,0.427002127659574,-0.00969667311411992
"28","Nymphalidae","Danaus affinis",10,"Male",7,1,0.7,"GCA0049599151_X_Nymphalidae_Danainae_Danaini_Danaus_chrysippus",0.418792156862745,0.514766666666667,-0.0959745098039216
"1868","Hesperiidae","Cephrenes augiades",10,"Female",0,1,0,"BN000246_121_Hesperiidae_Hesperiinae_Taractrocerini_Cephrenes_augiades",0.0752222222222223,0.110031034482759,-0.0348088122605364
"55","Pieridae","Delias mysis",10,"Male",0,1,0,"SRR4341246_X_Pieridae_Pierinae_Pierini_Delias_descombesi_oraia",0.563136363636364,0.697385185185185,-0.134248821548822
"18","Lycaenidae","Hypolycaena phorbas",10,"Female",5,1,0.5,"TN04X153_X_Lycaenidae_Theclinae_Hypolycaenini_Hypolycaena_phorbas_X_ME",0.536392424242424,0.623288333333333,-0.0868959090909091
"1912","Hesperiidae","Cephrenes augiades",10,"Female",1,1,0.1,"BN000246_121_Hesperiidae_Hesperiinae_Taractrocerini_Cephrenes_augiades",0.0752222222222223,0.110031034482759,-0.0348088122605364
"65","Pieridae","Delias nigrina",10,"Male",0,1,0,"SRR4341246_X_Pieridae_Pierinae_Pierini_Delias_descombesi_oraia",0.544332727272727,0.283626984126984,0.260705743145743
"47","Lycaenidae","Arhopala micale",10,"Female",6,1,0.6,"BN004507_EI16D223_Lycaenidae_Theclinae_Arhopalini_Arhopala_thamyras",0.768294642857143,0.154526984126984,0.613767658730159
"11","Nymphalidae","Danaus affinis",10,"Male",10,1,1,"GCA0049599151_X_Nymphalidae_Danainae_Danaini_Danaus_chrysippus",0.418792156862745,0.514766666666667,-0.0959745098039216
"14","Lycaenidae","Nacaduba cyanea",10,"Female",4,1,0.4,"BN003931_KD93C025_Lycaenidae_Polyommatinae_Polyommatini_Nacaduba_kurava",0.735891176470588,0.710810638297872,0.0250805381727159
"4","Hesperiidae","Notocrypta waigensis",10,"Female",0,1,0,"SRR7174518_X_Hesperiidae_Hesperiinae_Erionotini_Notocrypta_feisthamelii",0.462696,0.384441509433962,0.0782544905660377
"1884","Lycaenidae","Nacaduba cyanea",10,"Male",1,1,0.1,"BN003931_KD93C025_Lycaenidae_Polyommatinae_Polyommatini_Nacaduba_kurava",0.735891176470588,0.710810638297872,0.0250805381727159
"6","Lycaenidae","Hypolycaena phorbas",10,"Female",5,1,0.5,"TN04X153_X_Lycaenidae_Theclinae_Hypolycaenini_Hypolycaena_phorbas_X_ME",0.536392424242424,0.623288333333333,-0.0868959090909091
"79","Lycaenidae","Hypolycaena phorbas",10,"Male",4,1,0.4,"TN04X153_X_Lycaenidae_Theclinae_Hypolycaenini_Hypolycaena_phorbas_X_ME",0.536392424242424,0.623288333333333,-0.0868959090909091
"23","Lycaenidae","Nacaduba cyanea",10,"Male",2,1,0.2,"BN003931_KD93C025_Lycaenidae_Polyommatinae_Polyommatini_Nacaduba_kurava",0.735891176470588,0.710810638297872,0.0250805381727159
"1857","Hesperiidae","Notocrypta waigensis",10,"Male",0,1,0,"SRR7174518_X_Hesperiidae_Hesperiinae_Erionotini_Notocrypta_feisthamelii",0.462696,0.384441509433962,0.0782544905660377
"30","Nymphalidae","Mycalesis terminus",10,"Female",3,1,0.3,"BN004362_DL02P763_Nymphalidae_Satyrinae_Satyrini_Mycalesis_francisca",0.356050980392157,0.286649019607843,0.0694019607843138
"38","Pieridae","Cepora perimale",10,"Male",0,1,0,"BN002330_DL16V155_Pieridae_Pierinae_Pierini_Cepora_nerissa",0.708192857142857,0.488015254237288,0.220177602905569
"21","Nymphalidae","Cethosia cydippe",10,"Male",6,1,0.6,"BN004321_JT10K020_Nymphalidae_Heliconiinae_Acraeini_Cethosia_cydippe",0.417305454545455,0.427002127659574,-0.00969667311411992
"1916","Hesperiidae","Sabera caesina",10,"Male",3,1,0.3,"BN000717_310_Hesperiidae_Hesperiinae_Taractrocerini_Sabera_caesina",NA,NA,NA
"1881","Pieridae","Delias mysis",10,"Male",0,1,0,"SRR4341246_X_Pieridae_Pierinae_Pierini_Delias_descombesi_oraia",0.563136363636364,0.697385185185185,-0.134248821548822
"1920","Hesperiidae","Sabera caesina",10,"Male",0,1,0,"BN000717_310_Hesperiidae_Hesperiinae_Taractrocerini_Sabera_caesina",NA,NA,NA
"1919","Hesperiidae","Sabera caesina",10,"Male",2,1,0.2,"BN000717_310_Hesperiidae_Hesperiinae_Taractrocerini_Sabera_caesina",NA,NA,NA
"1873","Nymphalidae","Danaus affinis",10,"Male",2,1,0.2,"GCA0049599151_X_Nymphalidae_Danainae_Danaini_Danaus_chrysippus",0.418792156862745,0.514766666666667,-0.0959745098039216
"71","Pieridae","Delias mysis",10,"Male",5,1,0.5,"SRR4341246_X_Pieridae_Pierinae_Pierini_Delias_descombesi_oraia",0.563136363636364,0.697385185185185,-0.134248821548822
"1498","Nymphalidae","Hypocysta metirius",10,"Male",4,1,0.4,"BN005507_DH18R117_Nymphalidae_Satyrinae_Satyrini_Hypocysta_calypso",0.179474074074074,0.269114285714286,-0.0896402116402115
"1263","Hesperiidae","Sabera fuliginosa",10,"Male",2,1,0.2,"BN000717_310_Hesperiidae_Hesperiinae_Taractrocerini_Sabera_caesina",NA,0.275693617021277,NA
"3235","Lycaenidae","Theclinesthes onycha",10,"Male",7,1,0.7,"BN003991_MFB00P612_Lycaenidae_Polyommatinae_Polyommatini_Theclinesthes_miskini",0.671384090909091,0.533632352941177,0.137751737967914
"3319","Hesperiidae","Toxidia peron",10,"Female",0,1,0,"BN000840_111_Hesperiidae_Trapezitinae_X_Toxidia_peron",0.147526666666667,0.35182,-0.204293333333333
"1331","Nymphalidae","Hypocysta metirius",10,"Female",5,1,0.5,"BN005507_DH18R117_Nymphalidae_Satyrinae_Satyrini_Hypocysta_calypso",0.179474074074074,0.269114285714286,-0.0896402116402115
"1321","Hesperiidae","Sabera fuliginosa",10,"Male",2,1,0.2,"BN000717_310_Hesperiidae_Hesperiinae_Taractrocerini_Sabera_caesina",NA,0.275693617021277,NA
"1315","Pieridae","Belenois java",10,"Male",8,1,0.8,"BN002237_LEP46735_Pieridae_Pierinae_Pierini_Belenois_java",0.621970175438596,0.70523,-0.0832598245614036
"1443","Nymphalidae","Hypocysta metirius",10,"Male",2,1,0.2,"BN005507_DH18R117_Nymphalidae_Satyrinae_Satyrini_Hypocysta_calypso",0.179474074074074,0.269114285714286,-0.0896402116402115
"3342","Hesperiidae","Toxidia peron",10,"Female",2,1,0.2,"BN000840_111_Hesperiidae_Trapezitinae_X_Toxidia_peron",0.147526666666667,0.35182,-0.204293333333333
"1290","Pieridae","Eurema smilax",10,"Female",0,1,0,"DRR087481_X_Pieridae_Coliadinae_X_Eurema_mandarina",0.563998076923077,0.507790196078431,0.0562078808446456
"1350","Pieridae","Belenois java",10,"Female",2,1,0.2,"BN002237_LEP46735_Pieridae_Pierinae_Pierini_Belenois_java",0.621970175438596,0.70523,-0.0832598245614036
"1281","Pieridae","Belenois java",10,"Male",0,1,0,"BN002237_LEP46735_Pieridae_Pierinae_Pierini_Belenois_java",0.621970175438596,0.70523,-0.0832598245614036
"1299","Lycaenidae","Candalides absimilis",10,"Female",2,1,0.2,"RE05D052_X_Lycaenidae_Theclinae_Candalidini_Candalides_xanthospilos_X_ME",0.707786363636364,0.688629824561404,0.0191565390749602
"1302","Pieridae","Delias nigrina",10,"Male",0,1,0,"SRR4341246_X_Pieridae_Pierinae_Pierini_Delias_descombesi_oraia",0.544332727272727,0.283626984126984,0.260705743145743
"3219","Nymphalidae","Euploea corinna",10,"Male",2,1,0.2,"BN004536_HD14B023_Nymphalidae_Danainae_Danaini_Euploea_phaenareta",0.415918,0.495789655172414,-0.0798716551724138
"3225","Hesperiidae","Trapezites symmomus",10,"Female",0,1,0,"BN000850_89_Hesperiidae_Trapezitinae_X_Trapezites_symmomus",0.0908371428571428,0.222654237288136,-0.131817094430993
"3231","Lycaenidae","Leptotes plinius",10,"Female",10,1,1,"BN002865_LEP46014_Lycaenidae_Polyommatinae_Polyommatini_Leptotes_cassius",0.490422033898305,0.387837096774194,0.102584937124112
"3124","Nymphalidae","Euploea corinna",10,"Male",0,1,0,"BN004536_HD14B023_Nymphalidae_Danainae_Danaini_Euploea_phaenareta",0.415918,0.495789655172414,-0.0798716551724138
"1482","Pieridae","Delias nigrina",10,"Male",0,1,0,"SRR4341246_X_Pieridae_Pierinae_Pierini_Delias_descombesi_oraia",0.544332727272727,0.283626984126984,0.260705743145743
"3168","Nymphalidae","Hypocysta metirius",10,"Male",5,1,0.5,"BN005507_DH18R117_Nymphalidae_Satyrinae_Satyrini_Hypocysta_calypso",0.179474074074074,0.269114285714286,-0.0896402116402115
"1385","Nymphalidae","Melanitis leda",10,"Female",0,1,0,"ME11B073_X_Nymphalidae_Satyrinae_Melanitini_Melanitis_leda_X_ME",0.287288372093023,0.090121875,0.197166497093023
"1439","Pieridae","Eurema smilax",10,"Male",4,1,0.4,"DRR087481_X_Pieridae_Coliadinae_X_Eurema_mandarina",0.563998076923077,0.507790196078431,0.0562078808446456
"3226","Hesperiidae","Ocybadistes walkeri",10,"Female",3,1,0.3,"BN000549_127_Hesperiidae_Hesperiinae_Taractrocerini_Ocybadistes_walkeri",0.0825531914893618,0.33149,-0.248936808510638
"1441","Nymphalidae","Hypocysta metirius",10,"Male",2,1,0.2,"BN005507_DH18R117_Nymphalidae_Satyrinae_Satyrini_Hypocysta_calypso",0.179474074074074,0.269114285714286,-0.0896402116402115
"3122","Nymphalidae","Melanitis leda",10,"Female",0,1,0,"ME11B073_X_Nymphalidae_Satyrinae_Melanitini_Melanitis_leda_X_ME",0.287288372093023,0.090121875,0.197166497093023
"1358","Nymphalidae","Hypolimnas bolina",10,"Male",2,1,0.2,"BN007178_LEP37028B_Nymphalidae_Nymphalinae_Kallimini_Hypolimnas_bolina",NA,NA,NA
"1469","Nymphalidae","Hypocysta metirius",10,"Male",4,1,0.4,"BN005507_DH18R117_Nymphalidae_Satyrinae_Satyrini_Hypocysta_calypso",0.179474074074074,0.269114285714286,-0.0896402116402115
"1368","Nymphalidae","Euploea corinna",10,"Female",6,1,0.6,"BN004536_HD14B023_Nymphalidae_Danainae_Danaini_Euploea_phaenareta",0.415918,0.495789655172414,-0.0798716551724138
"1391","Papilionidae","Papilio aegeus",10,"Male",0,1,0,"SRR5879306_X_Papilionidae_Papilioninae_Papilionini_Papilio_ambrax",0.5052453125,0.436190196078431,0.0690551164215687
"1404","Pieridae","Eurema smilax",10,"Male",4,1,0.4,"DRR087481_X_Pieridae_Coliadinae_X_Eurema_mandarina",0.563998076923077,0.507790196078431,0.0562078808446456
"3433","Hesperiidae","Toxidia peron",10,"Male",4,1,0.4,"BN000840_111_Hesperiidae_Trapezitinae_X_Toxidia_peron",0.147526666666667,0.35182,-0.204293333333333
"3134","Hesperiidae","Toxidia peron",10,"Male",1,1,0.1,"BN000840_111_Hesperiidae_Trapezitinae_X_Toxidia_peron",0.147526666666667,0.35182,-0.204293333333333
"3142","Lycaenidae","Theclinesthes onycha",10,"Male",8,1,0.8,"BN003991_MFB00P612_Lycaenidae_Polyommatinae_Polyommatini_Theclinesthes_miskini",0.671384090909091,0.533632352941177,0.137751737967914
"1408","Hesperiidae","Sabera fuliginosa",10,"Male",0,1,0,"BN000717_310_Hesperiidae_Hesperiinae_Taractrocerini_Sabera_caesina",NA,0.275693617021277,NA
"3437","Nymphalidae","Melanitis leda",10,"Female",1,1,0.1,"ME11B073_X_Nymphalidae_Satyrinae_Melanitini_Melanitis_leda_X_ME",0.287288372093023,0.090121875,0.197166497093023
"1417","Pieridae","Eurema smilax",10,"Male",3,1,0.3,"DRR087481_X_Pieridae_Coliadinae_X_Eurema_mandarina",0.563998076923077,0.507790196078431,0.0562078808446456
"1397","Nymphalidae","Hypocysta metirius",10,"Male",1,1,0.1,"BN005507_DH18R117_Nymphalidae_Satyrinae_Satyrini_Hypocysta_calypso",0.179474074074074,0.269114285714286,-0.0896402116402115
"3371","Nymphalidae","Euploea corinna",10,"Male",5,1,0.5,"BN004536_HD14B023_Nymphalidae_Danainae_Danaini_Euploea_phaenareta",0.415918,0.495789655172414,-0.0798716551724138
"LP5","Lycaenidae","Leptotes plinius",10,"Male",3,2,0.3,"BN002865_LEP46014_Lycaenidae_Polyommatinae_Polyommatini_Leptotes_cassius",0.490422033898305,0.387837096774194,0.102584937124112
"3140","Lycaenidae","Nacaduba berenice",10,"Female",2,1,0.2,"BN003931_KD93C025_Lycaenidae_Polyommatinae_Polyommatini_Nacaduba_kurava",NA,0.331366666666667,NA
"3139","Lycaenidae","Theclinesthes onycha",10,"Female",7,1,0.7,"BN003991_MFB00P612_Lycaenidae_Polyommatinae_Polyommatini_Theclinesthes_miskini",0.671384090909091,0.533632352941177,0.137751737967914
"3435","Nymphalidae","Melanitis leda",10,"Female",1,1,0.1,"ME11B073_X_Nymphalidae_Satyrinae_Melanitini_Melanitis_leda_X_ME",0.287288372093023,0.090121875,0.197166497093023
"3141","Lycaenidae","Theclinesthes onycha",10,"Male",10,1,1,"BN003991_MFB00P612_Lycaenidae_Polyommatinae_Polyommatini_Theclinesthes_miskini",0.671384090909091,0.533632352941177,0.137751737967914
"2298","Nymphalidae","Cupha prosope",10,"Male",9,1,0.9,"BN004461_DL16V317_Nymphalidae_Heliconiinae_Vagrantini_Cupha_erymanthis",NA,NA,NA
"724","Nymphalidae","Pantoporia consimilis",10,"Female",10,1,1,"BN003337_DL16V052_Nymphalidae_Limenitidinae_Neptini_Pantoporia_hordonia",0.33145,0.357081132075472,-0.0256311320754716
"737","Hesperiidae","Pelopidas agna",10,"Male",8,1,0.8,"ME12C211_X_Hesperiidae_Hesperiinae_Baorini_Pelopidas_mathias_X_ME",0.115526785714286,0.266247368421053,-0.150720582706767
"684","Nymphalidae","Pantoporia consimilis",10,"Female",1,1,0.1,"BN003337_DL16V052_Nymphalidae_Limenitidinae_Neptini_Pantoporia_hordonia",0.33145,0.357081132075472,-0.0256311320754716
"2231","Nymphalidae","Cupha prosope",10,"Female",2,1,0.2,"BN004461_DL16V317_Nymphalidae_Heliconiinae_Vagrantini_Cupha_erymanthis",NA,NA,NA
"2708","Hesperiidae","Cephrenes augiades",10,"Female",0,1,0,"BN000246_121_Hesperiidae_Hesperiinae_Taractrocerini_Cephrenes_augiades",0.0752222222222223,0.110031034482759,-0.0348088122605364
"2254","Hesperiidae","Suniana sunias",10,"Female",1,1,0.1,"BN000778_380_Hesperiidae_Hesperiinae_Taractrocerini_Suniana_sunias",0.0850190476190477,0.190532608695652,-0.105513561076605
"2680","Nymphalidae","Hypolimnas bolina",10,"Male",0,1,0,"BN007178_LEP37028B_Nymphalidae_Nymphalinae_Kallimini_Hypolimnas_bolina",NA,NA,NA
"753","Nymphalidae","Melanitis leda",10,"Male",4,1,0.4,"ME11B073_X_Nymphalidae_Satyrinae_Melanitini_Melanitis_leda_X_ME",0.287288372093023,0.090121875,0.197166497093023
"685","Lycaenidae","Psychonotis caelius",10,"Male",7,1,0.7,"BN003844_KD94R072_Lycaenidae_Polyommatinae_Polyommatini_Psychonotis_caelius",NA,NA,NA
"672","Hesperiidae","Sabera caesina",10,"Female",3,1,0.3,"BN000717_310_Hesperiidae_Hesperiinae_Taractrocerini_Sabera_caesina",NA,NA,NA
"2309","Lycaenidae","Nacaduba cyanea",10,"Male",0,1,0,"BN003931_KD93C025_Lycaenidae_Polyommatinae_Polyommatini_Nacaduba_kurava",0.735891176470588,0.710810638297872,0.0250805381727159
"620","Nymphalidae","Cupha prosope",10,"Female",8,1,0.8,"BN004461_DL16V317_Nymphalidae_Heliconiinae_Vagrantini_Cupha_erymanthis",NA,NA,NA
"668","Pieridae","Delias mysis",10,"Male",5,1,0.5,"SRR4341246_X_Pieridae_Pierinae_Pierini_Delias_descombesi_oraia",0.563136363636364,0.697385185185185,-0.134248821548822
"2678","Pieridae","Delias mysis",10,"Male",1,1,0.1,"SRR4341246_X_Pieridae_Pierinae_Pierini_Delias_descombesi_oraia",0.563136363636364,0.697385185185185,-0.134248821548822
"706","Hesperiidae","Arrhenes dschilus",10,"Male",0,1,0,"BN000141_311_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_dschilus",0.0697023255813954,0.076350909090909,-0.00664858350951358
"2183","Hesperiidae","Pelopidas agna",10,"Male",7,1,0.7,"ME12C211_X_Hesperiidae_Hesperiinae_Baorini_Pelopidas_mathias_X_ME",0.115526785714286,0.266247368421053,-0.150720582706767
"617","Nymphalidae","Euploea tulliolus",10,"Female",6,1,0.6,"BN004536_HD14B023_Nymphalidae_Danainae_Danaini_Euploea_phaenareta",0.362420967741936,0.33076,0.0316609677419355
"728","Nymphalidae","Pantoporia consimilis",10,"Female",5,1,0.5,"BN003337_DL16V052_Nymphalidae_Limenitidinae_Neptini_Pantoporia_hordonia",0.33145,0.357081132075472,-0.0256311320754716
"623","Nymphalidae","Pantoporia consimilis",10,"Female",3,1,0.3,"BN003337_DL16V052_Nymphalidae_Limenitidinae_Neptini_Pantoporia_hordonia",0.33145,0.357081132075472,-0.0256311320754716
"2193","Nymphalidae","Mycalesis perseus",10,"Female",0,1,0,"BN004362_DL02P763_Nymphalidae_Satyrinae_Satyrini_Mycalesis_francisca",0.247368421052632,0.20746,0.0399084210526315
"2699","Hesperiidae","Suniana sunias",10,"Male",0,1,0,"BN000778_380_Hesperiidae_Hesperiinae_Taractrocerini_Suniana_sunias",0.0850190476190477,0.190532608695652,-0.105513561076605
"670","Nymphalidae","Pantoporia consimilis",10,"Female",8,1,0.8,"BN003337_DL16V052_Nymphalidae_Limenitidinae_Neptini_Pantoporia_hordonia",0.33145,0.357081132075472,-0.0256311320754716
"674","Nymphalidae","Pantoporia consimilis",10,"Female",7,1,0.7,"BN003337_DL16V052_Nymphalidae_Limenitidinae_Neptini_Pantoporia_hordonia",0.33145,0.357081132075472,-0.0256311320754716
"2224","Nymphalidae","Pantoporia consimilis",10,"Female",1,1,0.1,"BN003337_DL16V052_Nymphalidae_Limenitidinae_Neptini_Pantoporia_hordonia",0.33145,0.357081132075472,-0.0256311320754716
"2194","Nymphalidae","Cupha prosope",10,"Female",4,1,0.4,"BN004461_DL16V317_Nymphalidae_Heliconiinae_Vagrantini_Cupha_erymanthis",NA,NA,NA
"4228","Nymphalidae","Mycalesis terminus",10,"Male",0,1,0,"BN004362_DL02P763_Nymphalidae_Satyrinae_Satyrini_Mycalesis_francisca",0.356050980392157,0.286649019607843,0.0694019607843138
"740","Hesperiidae","Arrhenes dschilus",10,"Female",2,1,0.2,"BN000141_311_Hesperiidae_Hesperiinae_Taractrocerini_Arrhenes_dschilus",0.0697023255813954,0.076350909090909,-0.00664858350951358
